"; *** SCR1","K5","Q","2651","SK5-Q","1","",
"; *** SCR1","K5","R","276","SK5-Q","1","",
"DC","D81","A","241","D81","0","",
"DC","D81","K","102","D81","0","",
"DC","D810","A","LTEST12P","D810","0","",
"DC","D810","K","226","D810","0","",
"DC","D811","A","LTEST12P","D811","0","",
"DC","D811","K","230","D811","0","",
"DC","D812","A","LTEST12P","D812","0","",
"DC","D812","K","232","D812","0","",
"DC","D813","A","246","D813","0","",
"DC","D813","K","LTEST12N","D813","0","",
"DC","D813A","A","246","D813A","0","",
"DC","D813A","K","174","D813A","0","",
"DC","D814","A","247","D814","0","",
"DC","D814","K","LTEST12N","D814","0","",
"DC","D814A","A","247","D814A","0","",
"DC","D814A","K","174","D814A","0","",
"DC","D815","A","248","D815","0","",
"DC","D815","K","LTEST12N","D815","0","",
"DC","D815A","A","248","D815A","0","",
"DC","D815A","K","172","D815A","0","",
"DC","D816","A","131","D816","0","",
"DC","D816","K","LTEST12N","D816","0","",
"DC","D816A","A","131","D816A","0","",
"DC","D816A","K","172","D816A","0","",
"DC","D817","A","249","D817","0","",
"DC","D817","K","LTEST12N","D817","0","",
"DC","D818","A","179","D818","0","",
"DC","D818","K","LTEST12N","D818","0","",
"DC","D819","A","180","D819","0","",
"DC","D819","K","LTEST12N","D819","0","",
"DC","D82","A","241","D82","0","",
"DC","D82","K","LTEST12N","D82","0","",
"DC","D83","A","242","D83","0","",
"DC","D83","K","119","D83","0","",
"DC","D84","A","242","D84","0","",
"DC","D84","K","LTEST12N","D84","0","",
"DC","D85","A","243","D85","0","",
"DC","D85","K","139","D85","0","",
"DC","D86","A","243","D86","0","",
"DC","D86","K","LTEST12N","D86","0","",
"DC","D87","A","244","D87","0","",
"DC","D87","K","160","D87","0","",
"DC","D88","A","244","D88","0","",
"DC","D88","K","LTEST12N","D88","0","",
"DC","D89","A","LTEST12P","D89","0","",
"DC","D89","K","226","D89","0","",
"DC","DPC1-1","A","PC1-101","DPC1-1","0","",
"DC","DPC1-1","K","102","DPC1-1","0","",
"DC","DPC1-2","A","PC1-102","DPC1-2","0","",
"DC","DPC1-2","K","102","DPC1-2","0","",
"DC","DPC1-22","A","215","DPC1-22","0","",
"DC","DPC1-22","K","PC1-101","DPC1-22","0","",
"DC","DPC1-23","A","101","DPC1-23","0","",
"DC","DPC1-23","K","PC1-105","DPC1-23","0","",
"DC","DPC1-24","A","118","DPC1-24","0","",
"DC","DPC1-24","K","PC1-105","DPC1-24","0","",
"DC","DPC1-25","A","137","DPC1-25","0","",
"DC","DPC1-25","K","PC1-105","DPC1-25","0","",
"DC","DPC1-26","A","158","DPC1-26","0","",
"DC","DPC1-26","K","PC1-105","DPC1-26","0","",
"DC","DPC1-3","A","PC1-101","DPC1-3","0","",
"DC","DPC1-3","K","119","DPC1-3","0","",
"DC","DPC1-32","A","101","DPC1-32","0","",
"DC","DPC1-32","K","226","DPC1-32","0","",
"DC","DPC1-33","A","118","DPC1-33","0","",
"DC","DPC1-33","K","226","DPC1-33","0","",
"DC","DPC1-34","A","137","DPC1-34","0","",
"DC","DPC1-34","K","230","DPC1-34","0","",
"DC","DPC1-35","A","158","DPC1-35","0","",
"DC","DPC1-35","K","232","DPC1-35","0","",
"DC","DPC1-4","A","PC1-102","DPC1-4","0","",
"DC","DPC1-4","K","119","DPC1-4","0","",
"DC","DPC1-5","A","PC1-101","DPC1-5","0","",
"DC","DPC1-5","K","139","DPC1-5","0","",
"DC","DPC1-6","A","PC1-102","DPC1-6","0","",
"DC","DPC1-6","K","139","DPC1-6","0","",
"DC","DPC1-7","A","PC1-101","DPC1-7","0","",
"DC","DPC1-7","K","160","DPC1-7","0","",
"DC","DPC1-8","A","PC1-102","DPC1-8","0","",
"DC","DPC1-8","K","160","DPC1-8","0","",
"DC","K1","1","132","SK1-1","1","",
"DC","K1","2","218","SK1-1","1","",
"DC","K1","A","128","RK1","1000","",
"DC","K1","B","PC1-105","RK1","1000","",
"DC","K2","1","135","SK2-1","1","",
"DC","K2","2","218","SK2-1","1","",
"DC","K2","A","149","RK2","1000","",
"DC","K2","B","PC1-105","RK2","1000","",
"DC","K3","1","169","SK3-1","1","",
"DC","K3","2","218","SK3-1","1","",
"DC","K3","A","167","RK3","1000","",
"DC","K3","B","PC1-105","RK3","1000","",
"DC","K4","13","263","SK4-13","1","",
"DC","K4","14","108","SK4-13","1","",
"DC","K4","23","264","SK4-23","1","",
"DC","K4","24","109","SK4-23","1","",
"DC","K4","33","265","SK4-33","1","",
"DC","K4","34","144","SK4-33","1","",
"DC","K4","43","266","SK4-43","1","",
"DC","K4","44","145","SK4-43","1","",
"DC","K4","A","2701","RK4","472","",
"DC","K4","B","PC1-105","RK4","472","",
"DC","L1","1","246","L1","28","",
"DC","L1","2","172","L1","28","",
"DC","L2","1","247","L2","28","",
"DC","L2","2","172","L2","28","",
"DC","L21","1","241","L21","28","",
"DC","L21","2","226","L21","28","",
"DC","L22","1","242","L22","28","",
"DC","L22","2","226","L22","28","",
"DC","L23","1","243","L23","28","",
"DC","L23","2","230","L23","28","",
"DC","L24","1","244","L24","28","",
"DC","L24","2","232","L24","28","",
"DC","L25","1","249","L25","28","",
"DC","L25","2","172","L25","28","",
"DC","L26","1","179","L26","28","",
"DC","L26","2","172","L26","28","",
"DC","L3","1","248","L3","28","",
"DC","L3","2","172","L3","28","",
"DC","L36","1","180","L36","28","",
"DC","L36","2","172","L36","28","",
"DC","L4","1","131","L4","28","",
"DC","L4","2","172","L4","28","",
"DC","M1","[+]","219","RM1","50","",
"DC","M1","[-]","0","RM1","50","",
"DC","PC1","1","0","XPC1-1","","",
"DC","PC1","10","260","XPC1-10","","",
"DC","PC1","11","236","XPC1-11","","",
"DC","PC1","12","238","XPC1-12","","",
"DC","PC1","13","0","XPC1-13","","",
"DC","PC1","14","215","XPC1-14","","",
"DC","PC1","15","263","XPC1-15","","",
"DC","PC1","16","264","XPC1-16","","",
"DC","PC1","17","265","XPC1-17","","",
"DC","PC1","18","266","XPC1-18","","",
"DC","PC1","19","145","XPC1-19","","",
"DC","PC1","2","102","XPC1-02","","",
"DC","PC1","20","144","XPC1-20","","",
"DC","PC1","21","218","XPC1-21","","",
"DC","PC1","22","226","XPC1-22","","",
"DC","PC1","24","101","XPC1-24","","",
"DC","PC1","25","132","XPC1-25","","",
"DC","PC1","26","226","XPC1-26","","",
"DC","PC1","28","118","XPC1-28","","",
"DC","PC1","29","135","XPC1-29","","",
"DC","PC1","3","119","XPC1-03","","",
"DC","PC1","31","230","XPC1-31","","",
"DC","PC1","32","137","XPC1-32","","",
"DC","PC1","33","169","XPC1-33","","",
"DC","PC1","34","232","XPC1-34","","",
"DC","PC1","35","2701","XPC1-35","","",
"DC","PC1","36","158","XPC1-36","","",
